age_lower,age_upper,age_cat,men,women,total
0,1,0-5,2 438,2 326,4 764
1,4,0-5,10 623,10 190,20 813
5,9,5-9,13 612,12 854,26 466
10,14,10-19,13 400,12 756,26 156
15,19,10-19,13 696,13 328,27 024
20,24,20-49,15 426,15 635,31 061
25,29,20-49,17 762,18 079,35 841
30,34,20-49,18 534,19 098,37 632
35,39,20-49,18 972,19 595,38 567
40,44,20-49,18 748,19 521,38 269
45,49,20-49,18 745,19 325,38 070
50,54,50-64,18 428,19 027,37 455
55,59,50-64,16 945,17 518,34 463
60,64,50-64,13 210,13 400,26 610
65,69,65-79,9 418,11 252,20 670
70,74,65-79,8 701,11 089,19 790
75,79,65-79,7 279,9 853,17 132
80,84,80-104,5 122,7 149,12 271
85,89,80-104,3 091,5 287,8 378
90,94,80-104,1 238,2 724,3 962
95,99,80-104,252,964,1 216
100,104,80-104,28,127,155